variable,description,decade,pos_label,neg_label,pos_pct,n_valid,year_min,year_max,n_years,trend,was_flipped,question,stat_label,category,confidence,review_note,audit_action,audit_problem,audit_problem_detail,audit_reframe,audit_flip_error,audit_flip_note,review_status
racdif2,differences due to in-born learning ability,2000s,yes,no,0.1035,6801,1977,2024,24,0.1878,True,"What % of Americans surveyed believe the differences in jobs, income, and housing between blacks and whites are due to in-born learning ability differences?",Believe racial differences are in-born,Race & Equality,2,Verify exact GSS question wording; 'in-born learning ability' phrasing may be outdated or sensitive.,reframe,wrong_question_text,Phrasing 'in-born learning ability' appears non-standard; verify actual GSS wording.,What % of Americans surveyed believe racial differences are due to inborn ability?,False,,edited
racdif2,differences due to in-born learning ability,2010s,yes,no,0.0891,7689,1977,2024,24,0.1878,True,"What % of Americans surveyed believe the differences in jobs, income, and housing between blacks and whites are due to in-born learning ability differences?",Believe racial differences are in-born,Race & Equality,2,Verify exact GSS question wording; 'in-born learning ability' phrasing may be outdated or sensitive.,reframe,wrong_question_text,Phrasing 'in-born learning ability' appears non-standard; verify actual GSS wording.,What % of Americans surveyed believe racial differences are due to inborn ability?,False,,edited
racdif2,differences due to in-born learning ability,2020s,yes,no,0.0724,4879,1977,2024,24,0.1878,True,"What % of Americans surveyed believe the differences in jobs, income, and housing between blacks and whites are due to in-born learning ability differences?",Believe racial differences are in-born,Race & Equality,2,Verify exact GSS question wording; 'in-born learning ability' phrasing may be outdated or sensitive.,reframe,wrong_question_text,Phrasing 'in-born learning ability' appears non-standard; verify actual GSS wording.,What % of Americans surveyed believe racial differences are due to inborn ability?,False,,edited
racdif3,differences due to lack of education,1970s,yes,no,0.5123,1298,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif3,differences due to lack of education,1980s,yes,no,0.5387,4834,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif3,differences due to lack of education,1990s,yes,no,0.4909,8904,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif3,differences due to lack of education,2000s,yes,no,0.4479,6773,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif3,differences due to lack of education,2010s,yes,no,0.4715,7646,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif3,differences due to lack of education,2020s,yes,no,0.5291,4834,1977,2024,24,-0.0168,True,"What % of Americans surveyed believe income, housing, and job disparity between african americans and whites are because most african americans do not have the chance for sufficient education?",Believe racial differences due to lack of education,Race & Equality,2,Unclear if question asks about cause of differences or justification. Verify exact GSS wording.,reframe,underspecified,Unclear whether question asks about cause or explanation of differences.,What % of Americans surveyed attribute racial differences to lack of education?,False,,edited
racdif4,differences due to lack of will,1970s,yes,no,0.6475,1270,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
racdif4,differences due to lack of will,1980s,yes,no,0.591,4734,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
racdif4,differences due to lack of will,1990s,yes,no,0.53,8624,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
racdif4,differences due to lack of will,2000s,yes,no,0.4971,6604,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
racdif4,differences due to lack of will,2010s,yes,no,0.4477,7529,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
racdif4,differences due to lack of will,2020s,yes,no,0.2964,4809,1977,2024,24,0.3511,True,"What % of Americans surveyed believe racial disparities around jobs, incomes, and housing are because most african americans lack will power to remove themselves from poverty?",Believe racial differences due to lack of will,Race & Equality,2,Verify exact wording of original GSS question; 'lack of will' phrasing may be sensitive/loaded.,reframe,underspecified,Unclear what 'lack of will' means; needs context from original GSS question.,What % of Americans surveyed attribute racial differences to lack of willpower?,False,,edited
salsci,"salience, scientific community",1970s,almost never,sometimes,0.5796,1346,1978,1978,1,,False,What % of Americans surveyed say they almost think about / discuss scientific community news?,Almost never follow scientific community news,Education,2,Verify whether question asks about general science news or specific scientific community engagement/salience.,reframe,underspecified,Unclear if 'scientific community news' means general science news or specialized academic engagement.,What % of Americans surveyed say they almost never follow news about the scientific community?,False,,edited
unrel1,relatives unemployed in last yr,1970s,?,?,0.74,1459,1978,1984,4,,False,What % of Americans surveyed had a relative unemployed in the last year?,Had relative unemployed in past year,Work,1,,keep_as_is,,,,False,,pending
unrel1,relatives unemployed in last yr,1980s,?,?,0.6938,4193,1978,1984,4,,False,What % of Americans surveyed had a relative unemployed in the last year?,Had relative unemployed in past year,Work,1,,keep_as_is,,,,False,,pending
unrel4,relatives unemp between 5 & 1 yrs ago,1970s,?,?,0.7051,1438,1978,1984,4,,False,What % of Americans surveyed had a relative unemployed in the last 4 years?,Had relative unemployed 1-5 years ago,Work,2,Unclear if 'relative' means immediate family only or extended family. Time frame interpretation may vary.,reframe,underspecified,Unclear if 'relative' includes extended family or immediate family only.,What % of Americans surveyed had a family member unemployed between 1 and 5 years ago?,False,,edited
unrel4,relatives unemp between 5 & 1 yrs ago,1980s,?,?,0.6889,4236,1978,1984,4,,False,What % of Americans surveyed had a relative unemployed in the last 4 years?,Had relative unemployed 1-5 years ago,Work,2,Unclear if 'relative' means immediate family only or extended family. Time frame interpretation may vary.,reframe,underspecified,Unclear if 'relative' includes extended family or immediate family only.,What % of Americans surveyed had a family member unemployed between 1 and 5 years ago?,False,,edited
hosrel1,rels hospitalized in last year,1970s,?,?,0.6343,1374,1978,1984,4,,False,What % of Americans surveyed had a relative hospitalized in the last year?,Had relative hospitalized in past year,Health,1,,keep_as_is,,,,False,,pending
hosrel1,rels hospitalized in last year,1980s,?,?,0.6784,4110,1978,1984,4,,False,What % of Americans surveyed had a relative hospitalized in the last year?,Had relative hospitalized in past year,Health,1,,keep_as_is,,,,False,,pending
madeath,death of mother,1970s,no death reported,died 6+ yrs ago,0.7261,1300,1978,1994,12,,False,What % of Americans surveyed reported that their mother is still living?,Mother still living,Family,1,,keep_as_is,,,,False,,pending
madeath,death of mother,1980s,no death reported,died 6+ yrs ago,0.7339,8397,1978,1994,12,,False,What % of Americans surveyed reported that their mother is still living?,Mother still living,Family,1,,keep_as_is,,,,False,,pending
madeath,death of mother,1990s,no death reported,died 6+ yrs ago,0.7459,3032,1978,1994,12,,False,What % of Americans surveyed reported that their mother is still living?,Mother still living,Family,1,,keep_as_is,,,,False,,pending
trauma1,"trauma scale, last year",1970s,?,?,0.6584,1390,1978,1994,12,,False,"What % of Americans surveyed experienced a traumatic event (death, divorce, unemployment, and hospitalizations-disabilities) in the last year?",Experienced trauma in last year,Health,3,Unclear what trauma types counted or how scale was measured. Need response options to clarify.,remove,underspecified,Unclear what trauma types counted or how scale measured.,,False,,edited
trauma1,"trauma scale, last year",1980s,?,?,0.6539,8671,1978,1994,12,,False,"What % of Americans surveyed experienced a traumatic event (death, divorce, unemployment, and hospitalizations-disabilities) in the last year?",Experienced trauma in last year,Health,3,Unclear what trauma types counted or how scale was measured. Need response options to clarify.,remove,underspecified,Unclear what trauma types counted or how scale measured.,,False,,edited
trauma1,"trauma scale, last year",1990s,?,?,0.6911,3058,1978,1994,12,,False,"What % of Americans surveyed experienced a traumatic event (death, divorce, unemployment, and hospitalizations-disabilities) in the last year?",Experienced trauma in last year,Health,3,Unclear what trauma types counted or how scale was measured. Need response options to clarify.,remove,underspecified,Unclear what trauma types counted or how scale measured.,,False,,edited
pollgood,do surveys serve good purpose,1980s,good purpose,waste of time and $,0.8309,1569,1982,1982,1,,False,What % of Americans surveyed believe surveys serve a good purpose?,Think surveys serve good purpose,Social Trust,1,,keep_as_is,,,,False,,pending
milpay,pay and benefits for military personnel,1980s,about right,should be larger,0.6122,2939,1982,1983,2,,False,What % of Americans surveyed think military pay and benefits are about right?,Military pay and benefits are about right,Politics,1,,keep_as_is,,,,False,,pending
fenumok,number of women in military,1980s,about right number,should be more,0.6418,4100,1982,1984,3,,False,What % of Americans surveyed think the number of women in the military is about right?,Think current number of women in military appropriate,Politics,1,,keep_as_is,,,,False,,pending
hinumok,number of hispanics in military,1980s,about right number,should be more,0.6611,3162,1982,1984,3,,False,What % of Americans surveyed think there are 'about the right number of Hispanics' in the military?,Think right number of Hispanics in military,Race & Equality,2,Survey context and date range needed to assess relevance and potential demographic shifts in responses.,remove,wrong_question_text,"Variable measures count of Hispanics in military, not opinion about that count.",,False,,edited
blnumok,number of blacks in military,1980s,about right number,should be more,0.7724,3183,1982,1984,3,,False,What % of Americans surveyed think there are about the right number of blacks in the military?,Think right number of blacks in military,Race & Equality,1,,keep_as_is,,,,False,,pending
fightair,women as jet fighter pilots,1980s,should,should not,0.5977,1797,1982,1982,1,,False,What % of Americans surveyed think women should be allowed to be jet fighter pilots?,Support women as jet fighter pilots,Race & Equality,1,,keep_as_is,,,,False,,pending
mechanic,women as truck mechanic,1980s,should,should not,0.8152,1811,1982,1982,1,,False,What % of Americans surveyed think women should be truck mechanics?,Women should be truck mechanics,Work,1,,keep_as_is,,,,False,,pending
nurse,women as nurses in combat zone,1980s,should,should not,0.92,1821,1982,1982,1,,False,What % of Americans surveyed believe women should serve as nurses in combat zones?,Women should serve as combat zone nurses,Civil Liberties,1,,keep_as_is,,,,False,,pending
brass,women in command of military bases,1980s,should,should not,0.5774,1786,1982,1982,1,,False,What % of Americans surveyed think women should command military bases?,Women should command military bases,Civil Liberties,1,,keep_as_is,,,,False,,pending
fightlnd,women in hand-to-hand combat,1980s,should not,should,0.6678,1790,1982,1982,1,,False,What % of Americans surveyed believe women should not serve in hand-to-hand combat roles?,Women should not be in hand-to-hand combat,Civil Liberties,2,Check survey year range and whether question evolved with military policy changes over time.,keep_as_is,,,,False,,edited
transair,women as jet transport pilot,1980s,should,should not,0.7048,1795,1982,1982,1,,False,What % of Americans surveyed think women should be jet transport pilots?,Women should be jet transport pilots,Work,1,,keep_as_is,,,,False,,pending
gunner,women as air defense gunner in u.s.,1980s,should,should not,0.5567,1778,1982,1982,1,,False,What % of Americans surveyed think women should serve as air defense gunners in the U.S. military?,Women should be air defense gunners,Civil Liberties,1,,keep_as_is,,,,False,,pending
fightsea,women as crew member of combat ship,1980s,should,should not,0.5487,1779,1982,1982,1,,False,What % of Americans surveyed think women should serve as crew members on combat ships?,Support women as combat ship crew,Sex & Relationships,1,,keep_as_is,,,,False,,pending
febrass,do women command over men,1980s,"yes, they are",no they arent,0.6387,1316,1982,1982,1,,False,What % of Americans surveyed believe women can be given positions in the military in which they command authority over men?,Women command authority over men,Race & Equality,2,Unclear if question asked about current reality or ideal state,reframe,underspecified,Unclear if asking about perceived reality or normative belief,What % of Americans surveyed believe women currently have authority over men?,False,,edited
draft,return to the draft?,1980s,volunteers,draft,0.6793,4646,1982,2006,4,,False,What % of Americans surveyed prefer an all-volunteer military over returning to the draft?,Prefer all-volunteer military over draft,Politics,1,,keep_as_is,,,,False,,pending
draft,return to the draft?,2000s,volunteers,draft,0.8456,1481,1982,2006,4,,False,What % of Americans surveyed prefer an all-volunteer military over returning to the draft?,Prefer all-volunteer military over draft,Politics,1,,keep_as_is,,,,False,,pending
draftfe,"if return to draft, draft women?",1980s,should,should not,0.4994,1464,1982,1984,3,,False,What % of Americans surveyed said women should be drafted if the U.S. returns to conscription?,Support drafting women if draft returns,Civil Liberties,1,,keep_as_is,,,,False,,pending
draftem,"if emergency, return to draft?",1980s,draft,volunteers,0.8339,3214,1982,1984,3,,False,What % of Americans surveyed said the U.S. should return to the draft in an emergency?,Would support draft in emergency,Politics,1,,keep_as_is,,,,False,,pending
draftfem,"if emergency, draft women also?",1980s,should,should not,0.5104,2583,1982,1984,3,,False,What % of Americans surveyed say women should be drafted in a military emergency?,Support drafting women in military emergency,Politics,1,,keep_as_is,,,,False,,pending
draftcol,college students exempt from draft?,1980s,"no, not exempt",yes,0.7044,1786,1982,1982,1,,False,What % of Americans surveyed said college students should NOT be exempt from military draft?,College students not exempt from draft,Civil Liberties,2,Verify survey timing and draft context (Vietnam era vs. hypothetical). Check if 'not exempt' vs. 'yes' distinction is clear.,reframe,underspecified,Unclear if question asked about Vietnam draft or hypothetical modern draft scenario.,What % of Americans surveyed said college students should NOT be exempt from military draft?,False,,edited
draftmar,married persons exempt from draft?,1980s,"no, not exempt",yes,0.5353,1769,1982,1982,1,,False,What % of Americans surveyed said married persons should NOT be exempt from the draft?,Married persons not exempt from draft,Civil Liberties,2,Verify whether question asked about married persons specifically or draft exemptions broadly.,reframe,underspecified,Unclear if question asked about draft exemptions broadly or married persons specifically.,What % of Americans surveyed said married persons should be exempt from the draft?,False,,edited
draftpar,parents of small chldrn exempt frm draft,1980s,yes,"no, not exempt",0.7296,1813,1982,1982,1,,False,What % of Americans surveyed believe parents of small children should be exempt from the draft?,Parents of small children exempt from draft,Civil Liberties,1,,keep_as_is,,,,False,,pending
draftgay,gays exempt from draft?,1980s,"no, not exempt",yes,0.8225,1743,1982,1982,1,,False,What % of Americans surveyed said gays should not be exempt from the draft?,Said gays should not be exempt from draft,Civil Liberties,2,Verify historical context of question timing relative to draft policy changes.,remove,underspecified,"Unclear what draft context: historical, hypothetical, or specific year?",,False,,edited
draftco,conscientious objector exempt from draft,1980s,"no, not exempt",yes,0.62,1748,1982,1982,1,,False,What % of Americans surveyed believe conscientious objectors should not be exempt from the draft?,Believe conscientious objectors not exempt from draft,Civil Liberties,2,Unclear if question asked about belief in exemptions or support for policy.,remove,wrong_question_text,Question text doesn't match variable measure; unclear what was actually surveyed.,,False,,kept
draftdef,defense occupations exempt from draft?,1980s,yes,"no, not exempt",0.5312,1765,1982,1982,1,,False,What % of Americans surveyed believe in important defense occupations should be exempt from the draft?,Defense occupations exempt from draft,Politics,2,Verify survey period and whether question wording remained consistent across years administered.,reframe,underspecified,Unclear what 'defense occupations' means; lacks survey period context.,What % of Americans surveyed believe certain defense industry workers should be exempt from military draft?,False,,edited
vetfam,family members served in armed forces?,1980s,yes,no,0.7146,3295,1982,1984,2,,False,What % of Americans surveyed had a family member who served in the armed forces?,Family member served in armed forces,Family,1,,keep_as_is,,,,False,,pending
vetfamnw,any family members in armed forces now,1980s,yes,no,0.1431,1056,1984,1984,1,,True,What % of Americans surveyed have any family members currently in the armed forces?,Have family members in armed forces now,Family,1,,keep_as_is,,,,False,,pending
minmilop,min opportunities better in military?,1980s,military better,no difference,0.5453,1264,1984,1984,1,,False,What % of Americans surveyed believe military service offers better opportunities for minorities?,Say military offers better opportunities for minorities,Work,1,,keep_as_is,,,,False,,pending
copunish,punish draft resister's?,1980s,yes,no,0.6824,1402,1984,1984,1,,False,What % of Americans surveyed believe men who do not register for the draft should be punished?,Support punishing draft resisters,Civil Liberties,2,Verify historical context: draft resistance was relevant in specific era. Check if question wording changed over survey years.,reframe,underspecified,Missing survey year/era context; draft resistance relevance varies historically.,What % of Americans surveyed believed draft resisters should be punished?,False,,edited
upgrade,refuse vols with no basic skills?,1980s,accept & educate,refuse to accept,0.8255,1421,1984,1984,1,,False,"What % of Americans surveyed say the military should accept and educate volunteers without basic skills (reading, arithmetic)?",Accept volunteers without basic skills,Social Trust,2,Unclear what context 'volunteers' refers to—which organization or sector?,remove,underspecified,Unclear which volunteer organization or context the question addresses.,,False,,edited
jobtrain,obligation to train for civilian jobs?,1980s,not obligation,"yes, obligation",0.5185,1412,1984,1984,1,,False,What % of Americans surveyed say government has no obligation to train soldiers for civilian jobs?,Government has no job training obligation,Work,2,Unclear if question asks about government obligation specifically or obligation in general.,reframe,underspecified,Unclear whether question asks about government obligation specifically or general obligation.,What % of Americans surveyed say the government has no obligation to train workers for civilian jobs?,False,,edited
vetaid,any in hh receive mil or vet benefits,1980s,yes,no,0.1156,1443,1984,1984,1,,True,What % of Americans surveyed have anyone in their household receiving military or veteran benefits?,Have household member receiving military or veteran benefits,Politics,1,,keep_as_is,,,,False,,pending
defwrkev,ever work for military supplier?,1980s,yes,no,0.1249,1443,1984,1984,1,,True,What % of Americans surveyed have ever worked for a military supplier?,Ever worked for military supplier,Work,1,,keep_as_is,,,,False,,pending
milwrkev,ever work for military or dod?,1980s,yes,no,0.055,1445,1984,1984,1,,True,What % of Americans surveyed have ever worked for the military or Department of Defense?,Ever worked for military or DOD,Work,1,,keep_as_is,,,,False,,pending
resdefwk,local economy depends on defense work?,1980s,not at all,somewhat dependent,0.5942,1243,1984,1984,1,,False,What % of Americans surveyed say their local economy is not at all dependent on defense work?,Local economy not dependent on defense work,Work,1,,keep_as_is,,,,False,,pending
obvote,obligation--voting in elections,1980s,very important,somewhat important,0.8325,1381,1984,1984,1,,False,What % of Americans surveyed say voting in elections is a very important obligation?,Say voting is very important obligation,Politics,1,,keep_as_is,,,,False,,pending
objury,obligation--jury duty,1980s,very important,somewhat important,0.6887,1359,1984,1984,1,,False,What % of Americans surveyed said jury duty is very important?,Consider jury duty very important,Crime & Law,1,,keep_as_is,,,,False,,pending
ob911,obligation--reporting a crime,1980s,very important,somewhat important,0.9156,1426,1984,1984,1,,False,What % of Americans surveyed say reporting a crime is very important?,Say reporting crime is very important,Crime & Law,1,,keep_as_is,,,,False,,pending
obeng,obligation--being able to speak english,1980s,very important,somewhat important,0.8503,1407,1984,1984,1,,False,What % of Americans surveyed say being able to speak English is very important obligation for an American citizen?,Say speaking English is very important,Race & Equality,2,"Unclear if question refers to immigrants, residents, or general principle. Verify survey context.",remove,conditional,"Unclear if question asked to immigrants, all residents, or general principle.",,False,,edited
sex1,sex of person number 1,1980s,female,male,0.5044,1393,1985,2004,2,,False,What % of Americans surveyed were female?,Female respondents in survey,Social Trust,1,,keep_as_is,,,,False,,pending
sex1,sex of person number 1,2000s,female,male,0.5122,1065,1985,2004,2,,False,What % of Americans surveyed were female?,Female respondents in survey,Social Trust,1,,keep_as_is,,,,False,,pending
race1,race of person number 1,1980s,white,black,0.908,1315,1985,2004,2,,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
race1,race of person number 1,2000s,white,black,0.8869,949,1985,2004,2,,False,What % of Americans surveyed identified as white?,Identified as white,Race & Equality,1,,keep_as_is,,,,False,,pending
memfrat,membership in fraternal group,1970s,yes,no,0.112,5958,1974,2004,16,,True,What % of Americans surveyed report membership in a fraternal group or organization?,Member of fraternal group,Social Trust,1,,keep_as_is,,,,False,,pending
memfrat,membership in fraternal group,1980s,yes,no,0.0903,9731,1974,2004,16,,True,What % of Americans surveyed report membership in a fraternal group or organization?,Member of fraternal group,Social Trust,1,,keep_as_is,,,,False,,pending
memfrat,membership in fraternal group,1990s,yes,no,0.09,3458,1974,2004,16,,True,What % of Americans surveyed report membership in a fraternal group or organization?,Member of fraternal group,Social Trust,1,,keep_as_is,,,,False,,pending
memfrat,membership in fraternal group,2000s,yes,no,0.0658,1464,1974,2004,16,,True,What % of Americans surveyed report membership in a fraternal group or organization?,Member of fraternal group,Social Trust,1,,keep_as_is,,,,False,,pending
memserv,membership in service group,1970s,yes,no,0.0914,5962,1974,2004,16,,True,What % of Americans surveyed report membership in a service club?,Belong to service group,Social Trust,2,"Unclear what counts as 'service group'—civic, religious, professional, or volunteer?",reframe,underspecified,"Service group undefined—civic, religious, professional, or volunteer?",What % of Americans surveyed report membership in any service or civic organization?,False,,edited
memserv,membership in service group,1980s,yes,no,0.1022,9735,1974,2004,16,,True,What % of Americans surveyed report membership in a service club?,Belong to service group,Social Trust,2,"Unclear what counts as 'service group'—civic, religious, professional, or volunteer?",reframe,underspecified,"Service group undefined—civic, religious, professional, or volunteer?",What % of Americans surveyed report membership in any service or civic organization?,False,,edited
memserv,membership in service group,1990s,yes,no,0.1033,3451,1974,2004,16,,True,What % of Americans surveyed report membership in a service club?,Belong to service group,Social Trust,2,"Unclear what counts as 'service group'—civic, religious, professional, or volunteer?",reframe,underspecified,"Service group undefined—civic, religious, professional, or volunteer?",What % of Americans surveyed report membership in any service or civic organization?,False,,edited
memserv,membership in service group,2000s,yes,no,0.0978,1462,1974,2004,16,,True,What % of Americans surveyed report membership in a service club?,Belong to service group,Social Trust,2,"Unclear what counts as 'service group'—civic, religious, professional, or volunteer?",reframe,underspecified,"Service group undefined—civic, religious, professional, or volunteer?",What % of Americans surveyed report membership in any service or civic organization?,False,,edited
memvet,membership in veteran group,1970s,yes,no,0.08,5961,1974,2004,16,,True,What % of Americans surveyed are members of a veteran group or organization?,Member of veteran group or organization,Civil Liberties,1,,keep_as_is,,,,False,,pending
memvet,membership in veteran group,1980s,yes,no,0.0681,9736,1974,2004,16,,True,What % of Americans surveyed are members of a veteran group or organization?,Member of veteran group or organization,Civil Liberties,1,,keep_as_is,,,,False,,pending
memvet,membership in veteran group,1990s,yes,no,0.0692,3461,1974,2004,16,,True,What % of Americans surveyed are members of a veteran group or organization?,Member of veteran group or organization,Civil Liberties,1,,keep_as_is,,,,False,,pending
memvet,membership in veteran group,2000s,yes,no,0.0524,1467,1974,2004,16,,True,What % of Americans surveyed are members of a veteran group or organization?,Member of veteran group or organization,Civil Liberties,1,,keep_as_is,,,,False,,pending
memunion,membership in labor union,1970s,yes,no,0.1669,5962,1974,2004,16,,True,What % of Americans surveyed are members of a labor union?,Member of labor union,Work,1,,keep_as_is,,,,False,,pending
memunion,membership in labor union,1980s,yes,no,0.1345,9734,1974,2004,16,,True,What % of Americans surveyed are members of a labor union?,Member of labor union,Work,1,,keep_as_is,,,,False,,pending
memunion,membership in labor union,1990s,yes,no,0.1115,3458,1974,2004,16,,True,What % of Americans surveyed are members of a labor union?,Member of labor union,Work,1,,keep_as_is,,,,False,,pending
memunion,membership in labor union,2000s,yes,no,0.0989,1467,1974,2004,16,,True,What % of Americans surveyed are members of a labor union?,Member of labor union,Work,1,,keep_as_is,,,,False,,pending
memsport,membership in sports club,1970s,yes,no,0.1956,5965,1974,2004,16,,True,What % of Americans surveyed reported membership in a sports club?,Member of sports club,Social Trust,1,,keep_as_is,,,,False,,pending
memsport,membership in sports club,1980s,yes,no,0.2065,9746,1974,2004,16,,True,What % of Americans surveyed reported membership in a sports club?,Member of sports club,Social Trust,1,,keep_as_is,,,,False,,pending
memsport,membership in sports club,1990s,yes,no,0.1978,3459,1974,2004,16,,True,What % of Americans surveyed reported membership in a sports club?,Member of sports club,Social Trust,1,,keep_as_is,,,,False,,pending
memsport,membership in sports club,2000s,yes,no,0.1745,1467,1974,2004,16,,True,What % of Americans surveyed reported membership in a sports club?,Member of sports club,Social Trust,1,,keep_as_is,,,,False,,pending
memyouth,membership in youth group,1970s,yes,no,0.107,5959,1974,2004,16,,True,What % of Americans surveyed were members of a youth group?,Member of youth group,Social Trust,2,Unclear if 'youth group' means current or ever membership; timeframe ambiguous.,reframe,underspecified,Unclear if current or ever membership; timeframe ambiguous.,What % of Americans surveyed were ever members of a youth group?,False,,edited
memyouth,membership in youth group,1980s,yes,no,0.1027,9726,1974,2004,16,,True,What % of Americans surveyed were members of a youth group?,Member of youth group,Social Trust,2,Unclear if 'youth group' means current or ever membership; timeframe ambiguous.,reframe,underspecified,Unclear if current or ever membership; timeframe ambiguous.,What % of Americans surveyed were ever members of a youth group?,False,,edited
memyouth,membership in youth group,1990s,yes,no,0.1037,3456,1974,2004,16,,True,What % of Americans surveyed were members of a youth group?,Member of youth group,Social Trust,2,Unclear if 'youth group' means current or ever membership; timeframe ambiguous.,reframe,underspecified,Unclear if current or ever membership; timeframe ambiguous.,What % of Americans surveyed were ever members of a youth group?,False,,edited
memyouth,membership in youth group,2000s,yes,no,0.1109,1466,1974,2004,16,,True,What % of Americans surveyed were members of a youth group?,Member of youth group,Social Trust,2,Unclear if 'youth group' means current or ever membership; timeframe ambiguous.,reframe,underspecified,Unclear if current or ever membership; timeframe ambiguous.,What % of Americans surveyed were ever members of a youth group?,False,,edited
memschl,membership in school service,1970s,yes,no,0.1532,5954,1974,2004,16,,True,What % of Americans surveyed held membership in a school service organization?,Hold membership in school service,Education,1,,keep_as_is,,,,False,,pending
memschl,membership in school service,1980s,yes,no,0.1314,9730,1974,2004,16,,True,What % of Americans surveyed held membership in a school service organization?,Hold membership in school service,Education,1,,keep_as_is,,,,False,,pending
memschl,membership in school service,1990s,yes,no,0.1521,3457,1974,2004,16,,True,What % of Americans surveyed held membership in a school service organization?,Hold membership in school service,Education,1,,keep_as_is,,,,False,,pending
memschl,membership in school service,2000s,yes,no,0.1493,1466,1974,2004,16,,True,What % of Americans surveyed held membership in a school service organization?,Hold membership in school service,Education,1,,keep_as_is,,,,False,,pending
memhobby,membership in hobby club,1970s,yes,no,0.092,5951,1974,2004,16,,True,What % of Americans surveyed belong to a hobby club or hobby organization?,Belong to a hobby club,Social Trust,1,,keep_as_is,,,,False,,pending
memhobby,membership in hobby club,1980s,yes,no,0.0908,9730,1974,2004,16,,True,What % of Americans surveyed belong to a hobby club or hobby organization?,Belong to a hobby club,Social Trust,1,,keep_as_is,,,,False,,pending
