"variable","decade","years_asked"
"ormntlot","2000s","2006"
"orhealer","1990s","1996"
"orhealer","2000s","2006"
"orslfhlp","1990s","1996"
"orslfhlp","2000s","2006"
"orrxmed","1990s","1996"
"orrxmed","2000s","2006"
"ormntlhs","1990s","1996"
"ormntlhs","2000s","2006"
"mustdoc","1990s","1996"
"mustdoc","2000s","2006"
"mustdoc","2010s","2018"
"mustdoc","2020s","2024"
"mustmed","1990s","1996"
"mustmed","2000s","2006"
"mustmed","2010s","2018"
"mustmed","2020s","2024"
"musthosp","1990s","1996"
"musthosp","2000s","2006"
"musthosp","2010s","2018"
"musthosp","2020s","2024"
"dangrslf","1990s","1996"
"dangrslf","2000s","2006"
"dangrslf","2010s","2018"
"dangrslf","2020s","2024"
"dangroth","1990s","1996"
"dangroth","2000s","2006"
"dangroth","2010s","2018"
"dangroth","2020s","2024"
"medcare1","1990s","1996"
"medcare1","2000s","2006"
"medcare2","1990s","1996"
"medcare2","2000s","2006"
"spmentl","1990s","1996"
"spmentl","2000s","2006"
"govmentl","1990s","1996"
"govmentl","2000s","2006"
"knwmhosp","1990s","1996"
"knwmhosp","2000s","2002"
"knwmhosp","2020s","2024"
"knwpatnt","1990s","1996"
"knwpatnt","2000s","2002"
"knwpatnt","2020s","2024"
"evbrkdwn","1990s","1996"
"evbrkdwn","2010s","2016"
"evmhp","1990s","1996"
"knwmw1","2010s","2018"
"closeto1","2010s","2018"
"seetalk1","2010s","2018"
"mhtreat1","2010s","2018"
"myprobs1","2010s","2018"
"severe1","2010s","2018"
"dangoth1","2010s","2018"
"dangslf1","2010s","2018"
"fammhneg","2010s","2018"
"fammhneg","2020s","2024"
"othmhneg","2010s","2018"
"othmhneg","2020s","2024"
"diagnosd","2010s","2018"
"diagnosd","2020s","2024"
"mhtreatd","2010s","2018"
"mhtreatd","2020s","2024"
"mcsds1","2010s","2018"
"mcsds2","2010s","2018"
"mcsds3","2010s","2018"
"mcsds4","2010s","2018"
"mcsds5","2010s","2018"
"mcsds6","2010s","2018"
"mcsds7","2010s","2018"
"privpray","1990s","1998"
"meditate","1990s","1998"
"conghlp1","1990s","1998"
"conghlp2","1990s","1998"
"conghrm1","1990s","1998"
"conghrm2","1990s","1998"
"cope1","1990s","1998"
"cope2","1990s","1998"
"cope3","1990s","1998"
"cope4","1990s","1998"
"cope5","1990s","1998"
"cope6","1990s","1998"
"godwatch","1990s","1998"
"lesspain","1990s","1998"
"rellife","1990s","1998"
"rellife","2000s","2006, 2008"
"rellife","2010s","2010"
"forgive1","1990s","1998"
"forgive2","1990s","1998"
"forgive3","1990s","1998"
"feelgod","1990s","1998"
"feelgod","2000s","2004"
"relcmfrt","1990s","1998"
"harmony","1990s","1998"
"harmony","2000s","2004"
"uniongod","1990s","1998"
"godlove","1990s","1998"
"beausprt","1990s","1998"
"beausprt","2000s","2004"
"nocheer","1990s","1998"
"nervous","1990s","1998"
"fidgety","1990s","1998"
"hopeless","1990s","1998"
"effort","1990s","1998"
"wrthless","1990s","1998"
"lotr1","2010s","2016"
"lotr2","2010s","2016"
"lotr3","2010s","2016"
"lotr4","2010s","2016"
"lotr5","2010s","2016"
"lotr6","2010s","2016"
"hope1","2010s","2016"
"hope2","2010s","2016"
"hope3","2010s","2016"
"hope4","2010s","2016"
"hope5","2010s","2016"
"hope6","2010s","2016"
"relpersn","1990s","1998"
"relpersn","2000s","2006, 2008"
"relpersn","2010s","2010, 2012, 2014, 2016, 2018"
"relpersn","2020s","2021, 2022, 2024"
"sprtprsn","1990s","1998"
"sprtprsn","2000s","2006, 2008"
"sprtprsn","2010s","2010, 2012, 2014, 2016, 2018"
"sprtprsn","2020s","2021, 2022, 2024"
"relexp","1990s","1998"
"relexp","2000s","2004, 2006, 2008"
"relexp","2010s","2010"
"relexp","2020s","2021"
"natarts","1990s","1998"
"artgod","1990s","1998"
"artists","1990s","1998"
"irrelart","1990s","1998"
"irreloff","1990s","1998"
"aimofart","1990s","1998"
"aimofart","2020s","2024"
"readfict","1990s","1998"
"readfict","2000s","2002"
"popmusic","1990s","1998"
"popmusic","2000s","2002"
"drama","1990s","1998"
"drama","2000s","2002"
"relart","1990s","1998"
"volarts","1990s","1998"
"natlart","1990s","1998"
"stateart","1990s","1998"
"localart","1990s","1998"
"prfmnce","2010s","2016"
"artexbt","2010s","2016"
"nogo","2010s","2016"
"nogo1","2010s","2016"
"occtrain","1990s","1998"
"typeorg","1990s","1998"
"wrkoth","1990s","1998"
"partorg","1990s","1998"
"genderwk","1990s","1998"
"samework","1990s","1998"
"otjtrain","1990s","1998"
"formltrn","1990s","1998"
"doingtrn","1990s","1998"
"doingfin","1990s","1998"
"doingdys","1990s","1998"
"wojob","1990s","1998"
"numemp","1990s","1998"
"howpaid","1990s","1998"
"trusting","1990s","1998"
"seenmntl","1990s","1998"
"psycmed1","1990s","1998"
"psycmed1","2000s","2006"
"psycmed2","1990s","1998"
"psycmed3","1990s","1998"
"psycmed3","2000s","2006"
"psycmed4","1990s","1998"
"psycmed4","2000s","2006"
"psycmed5","1990s","1998"
"psycmed5","2000s","2006"
"psycmed6","1990s","1998"
"psycmed6","2000s","2006"
"psycmed7","1990s","1998"
"psycmed7","2000s","2006"
"usepsyc1","1990s","1998"
"usepsyc1","2000s","2006"
"usepsyc2","1990s","1998"
"usepsyc2","2000s","2006"
"usepsyc3","1990s","1998"
"usepsyc3","2000s","2006"
"usepsyc4","1990s","1998"
"usepsyc4","2000s","2006"
"psyckid1","1990s","1998"
"psyckid2","1990s","1998"
"psyckid3","1990s","1998"
"psycdrct","1990s","1998"
"psycfdoc","1990s","1998"
"psycpsyc","1990s","1998"
"hlthinsr","1990s","1998"
"doclist","1990s","1998"
"anydoc","1990s","1998"
"swithlth","1990s","1998"
"usedmntl","1990s","1998"
"hmo1","1990s","1998"
"hmo2","1990s","1998"
"hmo3","1990s","1998"
"hmo4","1990s","1998"
"hmo5","1990s","1998"
"hmo6","1990s","1998"
"hmo7","1990s","1998"
"doc1","1990s","1998"
"doc2","1990s","1998"
"doc3","1990s","1998"
"doc4","1990s","1998"
"doc5","1990s","1998"
"doc6","1990s","1998"
"doc7","1990s","1998"
"doc8","1990s","1998"
"doc9","1990s","1998"
"doc10","1990s","1998"
"doc11","1990s","1998"
"doc12","1990s","1998"
"doc13","1990s","1998"
"doc14","1990s","1998"
"doc15","1990s","1998"
"doc15","2000s","2006"
"doc16","1990s","1998"
"doc16","2000s","2006"
"doc17","1990s","1998"
"doc18","1990s","1998"
"doc18","2000s","2006"
"doc19","1990s","1998"
"doc19","2000s","2006"
"doc20","1990s","1998"
"doc20","2000s","2006"
"prozac","1990s","1998"
"prozac","2000s","2006"
"usedproz","1990s","1998"
"usedproz","2000s","2006"
"knwnproz","1990s","1998"
"knwnproz","2000s","2006"
"proz1","1990s","1998"
"proz1","2000s","2006"
"proz2","1990s","1998"
"proz3","1990s","1998"
"proz3","2000s","2006"
"proz4","1990s","1998"
"proz4","2000s","2006"
"proz5","1990s","1998"
"proz5","2000s","2006"
"proz6","1990s","1998"
"proz6","2000s","2006"
"proz7","1990s","1998"
"proz7","2000s","2006"
"proz8","1990s","1998"
"proz8","2000s","2006"
"proz9","1990s","1998"
"proz9","2000s","2006"
"prozslf1","1990s","1998"
"prozslf1","2000s","2006"
"prozslf2","1990s","1998"
"prozslf2","2000s","2006"
"prozslf3","1990s","1998"
"prozslf3","2000s","2006"
"prozslf4","1990s","1998"
"prozslf4","2000s","2006"
"prozkid1","1990s","1998"
"prozkid2","1990s","1998"
"prozkid3","1990s","1998"
"socsecrt","1990s","1998"
"socsecfx","1990s","1998"
"socsecnu","1990s","1998"
"terminal","1990s","1998"
"termecon","1990s","1998"
"termrel","1990s","1998"
"termemot","1990s","1998"
"termpain","1990s","1998"
"termpay","1990s","1998"
"trustfam","1990s","1998"
"trustdoc","1990s","1998"
"trustcrt","1990s","1998"
"termvig","1990s","1998"
"rightref","1990s","1998"
"notreat","1990s","1998"
"instrctn","1990s","1998"
"hospice","1990s","1998"
"painmed","1990s","1998"
"docsui","1990s","1998"
"famwhts","2000s","2000"
"famblks","2000s","2000"
"famjews","2000s","2000"
"famhsps","2000s","2000"
"famasns","2000s","2000"
"fairwhts","2000s","2000"
"fairblks","2000s","2000"
"fairjews","2000s","2000"
"fairhsps","2000s","2000"
"fairasns","2000s","2000"
"conteng","2000s","2000"
"contitl","2000s","2000"
"contchn","2000s","2000"
"contjew","2000s","2000"
"contblk","2000s","2000"
"contmex","2000s","2000"
"contvn","2000s","2000"
"contcuba","2000s","2000"
"contirsh","2000s","2000"
"contpr","2000s","2000"
"contjpn","2000s","2000"
"contmslm","2000s","2000"
"othlang","2000s","2000, 2006, 2008"
"othlang","2010s","2010, 2012, 2014, 2016, 2018"
"othlang","2020s","2021, 2022, 2024"
"othlang1","2000s","2000, 2006, 2008"
"othlang1","2010s","2010, 2012, 2014, 2016, 2018"
"othlang1","2020s","2021, 2022, 2024"
"othlang2","2000s","2000, 2006, 2008"
"othlang2","2010s","2010, 2012, 2014, 2016, 2018"
"othlang2","2020s","2021, 2022, 2024"
"spklang","2000s","2000, 2006, 2008"
"spklang","2010s","2010, 2012, 2014, 2016, 2018"
"spklang","2020s","2021, 2022, 2024"
"getlang","2000s","2000, 2006"
"parlang","2000s","2000"
"granlang","2000s","2000"
"langcom","2000s","2000"
"langwrk","2000s","2000"
"engoff1","2000s","2000"
"twolang","2000s","2000"
"nobiling","2000s","2000"
"engunite","2000s","2000"
"forlang1","2000s","2000"
"engthrtn","2000s","2000"
"engvote","2000s","2000"
"othhome","2000s","2006"
"betrlang","2000s","2006, 2008"
"betrlang","2010s","2010, 2012, 2014, 2016, 2018"
"betrlang","2020s","2021, 2022"
"letinhsp","2000s","2000"
"letinhsp","2020s","2024"
"letinasn","2000s","2000"
"letinasn","2020s","2024"
"letineur","2000s","2000"
"immcrmup","2000s","2000"
"immnew","2000s","2000"
"immnojob","2000s","2000"
"whtchng","2000s","2000"
"blkchng","2000s","2000"
"jewschng","2000s","2000"
"hispchng","2000s","2000"
"asnchng","2000s","2000"
"ethchng","2000s","2000"
"hispwork","2000s","2000"
"knwblk","2000s","2000"
"knwjew","2000s","2000"
"knwhisp","2000s","2000"
"knwasn","2000s","2000"
"blkschl","2000s","2000"
"blkcom","2000s","2000"
"blkrel","2000s","2000"
"blkwrk","2000s","2000"
"blkcls","2000s","2000"
"jewsschl","2000s","2000"
"jewscom","2000s","2000"
"jewsrel","2000s","2000"
"jewscls","2000s","2000"
"hispschl","2000s","2000"
"hispcom","2000s","2000"
"hisprel","2000s","2000"
"hispwrk","2000s","2000"
"hispcls","2000s","2000"
"asnschl","2000s","2000"
"asncom","2000s","2000"
"asnrel","2000s","2000"
"asnwrk","2000s","2000"
"asncls","2000s","2000"
"mostcom","2000s","2000"
"leastcom","2000s","2000"
"neieth1","2000s","2000"
"neieth2","2000s","2000"
"neieth3","2000s","2000"
"neieth4","2000s","2000"
"neieth5","2000s","2000"
"neieth6","2000s","2000"
"neieth7","2000s","2000"
"neieth8","2000s","2000"
"neieth9","2000s","2000"
"neieth10","2000s","2000"
"neieth11","2000s","2000"
"neieth12","2000s","2000"
"neieth13","2000s","2000"
"neieth14","2000s","2000"
"hswht","2000s","2000"
"hseth","2000s","2000"
"compuse","2000s","2000, 2002, 2004"
"compuse","2010s","2010, 2012, 2014, 2016, 2018"
"compuse","2020s","2021, 2022, 2024"
"webtv","2000s","2000, 2002"
"webmob","2010s","2010, 2012, 2014, 2016, 2018"
"webmob","2020s","2021, 2022, 2024"
"usewww","2000s","2000, 2002, 2004"
"usewww","2010s","2010, 2012, 2014, 2016, 2018"
"usewww","2020s","2021, 2022"
"chatmin","2000s","2000, 2002"
"drctlink","2000s","2000, 2002"
"typeurl","2000s","2000, 2002"
"srcheng","2000s","2000, 2002"
"bookmark","2000s","2000, 2002"
"catdrcty","2000s","2000, 2002"
"hyperlnk","2000s","2000, 2002"
"fin30","2000s","2000, 2002, 2004"
"schl30","2000s","2000, 2002, 2004"
"educ30","2000s","2000, 2002, 2004"
"work30","2000s","2000, 2002, 2004"
"news30","2000s","2000, 2002, 2004"
"govt30","2000s","2000, 2002, 2004"
"pol30","2000s","2000, 2002, 2004"
"travel30","2000s","2000, 2002, 2004"
"sports30","2000s","2000, 2002, 2004"
"music30","2000s","2000, 2002, 2004"
"art30","2000s","2000, 2002, 2004"
"tvmov30","2000s","2000, 2002, 2004"
"health30","2000s","2000, 2002, 2004"
"relig30","2000s","2000, 2002, 2004"
"games30","2000s","2000, 2002, 2004"
"humor30","2000s","2000, 2002, 2004"
"porn30","2000s","2000, 2002, 2004"
"person30","2000s","2000, 2002, 2004"
"sci30","2000s","2000, 2002, 2004"
"hobby30","2000s","2000, 2002, 2004"
"cook30","2000s","2000, 2002, 2004"
"work12","2000s","2000, 2002"
"hmefin12","2000s","2000, 2002"
"buyinf12","2000s","2000, 2002"
"buyit12","2000s","2000, 2002"
"invest12","2000s","2000, 2002"
"people12","2000s","2000, 2002"
"health12","2000s","2000, 2002"
"travel12","2000s","2000, 2002"
"locate12","2000s","2000, 2002"
"game12","2000s","2000, 2002"
"newjob12","2000s","2000, 2002"
"chat12","2000s","2000, 2002"
"polinf12","2000s","2000, 2002"
"econ12","2000s","2000, 2002"
"abort12","2000s","2000, 2002"
"moral12","2000s","2000, 2002"
"foraff12","2000s","2000, 2002"
"racrel12","2000s","2000, 2002"
"enviro12","2000s","2000, 2002"
"polcam12","2000s","2000, 2002"
"gun12","2000s","2000, 2002"
"taxes12","2000s","2000, 2002"
"fe12","2000s","2000, 2002"
"news12","2000s","2000, 2002"
"polagree","2000s","2000, 2002"
"polneutl","2000s","2000, 2002"
"poldsagr","2000s","2000, 2002"
"petition","2000s","2000, 2002"
"contact","2000s","2000, 2002"
"meeting","2000s","2000, 2002"
"polnew","2000s","2000, 2002"
"polchnge","2000s","2000, 2002"
"polforms","2000s","2000, 2002"
"polconf","2000s","2000, 2002"
"polalter","2000s","2000, 2002"
"poltough","2000s","2000, 2002"
"artschat","2000s","2000, 2002"
"artsnew","2000s","2000, 2002"
"artschng","2000s","2000, 2002"
"wwwmusic","2000s","2000, 2002"
"wwwart","2000s","2000, 2002"
"wwwlit","2000s","2000, 2002"
"wwwpersn","2000s","2000, 2002"
"online","2000s","2000"
"manual","2000s","2000"
"callcomp","2000s","2000"
"askwork","2000s","2000"
"askother","2000s","2000"
"payother","2000s","2000"
"doonown","2000s","2000"
"advsp","2000s","2000, 2002"
"advchld","2000s","2000, 2002"
"advpar","2000s","2000, 2002"
"advsib","2000s","2000, 2002"
"advfam","2000s","2000, 2002"
"advtchr","2000s","2000, 2002"
"advstu","2000s","2000, 2002"
"advsup","2000s","2000, 2002"
"advcowrk","2000s","2000, 2002"
"advcfrnd","2000s","2000, 2002"
"advofrnd","2000s","2000, 2002"
"advlib","2000s","2000, 2002"
"srcheng1","2000s","2000"
"download","2000s","2000, 2002, 2004"
"upload","2000s","2000, 2004"
"cmpvirus","2000s","2000"
"hlthinfo","2000s","2000, 2002, 2004"
"hlthpapr","2000s","2000, 2002, 2004"
"hlthmag1","2000s","2000, 2002, 2004"
"hlthmag2","2000s","2000, 2002, 2004"
"hlthdoc","2000s","2000, 2002, 2004"
"hlthfrel","2000s","2000, 2002, 2004"
"hlthtv","2000s","2000, 2002, 2004"
"hlthwww","2000s","2000, 2002, 2004"
"polinfo","2000s","2000"
"buyinfgn","2000s","2000, 2002"
"investgn","2000s","2000, 2002"
"travelgn","2000s","2000, 2002"
"peoplegn","2000s","2000, 2002"
"gamegn","2000s","2000, 2002"
"newjobgn","2000s","2000"
"poldisgn","2000s","2000, 2002"
"polinfgn","2000s","2000, 2002"
"perfrmgn","2000s","2000, 2002"
"artgn","2000s","2000, 2002"
"polcangn","2000s","2002"
"inperson","2000s","2000, 2002, 2004"
"byphone","2000s","2000, 2002, 2004"
"letters","2000s","2000, 2002, 2004"
"meetings","2000s","2000, 2002, 2004"
"byemail","2000s","2000, 2002, 2004"
"comphome","2000s","2000, 2002"
"wwwhome","2000s","2000, 2002"
"wwwline1","2000s","2000, 2002"
"compwork","2000s","2000, 2002"
"compoth","2000s","2000, 2002"
"emwrkloc","2000s","2000, 2002"
"emwrkawy","2000s","2000, 2002"
"emfamloc","2000s","2000, 2002"
"emfamoth","2000s","2000, 2002"
"emfri","2000s","2000, 2002"
"emchurch","2000s","2000, 2002"
"emgroups","2000s","2000, 2002"
"intuse","2010s","2016"
"intmbile","2010s","2016"
"intrecnt","2010s","2016"
"fbaccess","2010s","2016"
"twitter","2010s","2016"
"facebook","2010s","2016"
"instagrm","2010s","2016"
"linkedin","2010s","2016"
"snapchat","2010s","2016"
"tumblr","2010s","2016"
"whatsapp","2010s","2016"
"googlesn","2010s","2016"
"pinterst","2010s","2016"
"flickr","2010s","2016"
"vine","2010s","2016"
"clssmtes","2010s","2016"
"snsmoth1","2010s","2016"
"jobinfo","2000s","2002, 2004"
"jobpaper","2000s","2002, 2004"
"jobpub","2000s","2002, 2004"
"jobcowrk","2000s","2002, 2004"
"jobcntct","2000s","2002, 2004"
"jobfrnds","2000s","2002, 2004"
"jobplace","2000s","2002, 2004"
"jobtvrad","2000s","2002, 2004"
"jobonwww","2000s","2002, 2004"
"emailyr","2000s","2002"
"webyr","2000s","2002, 2004"
"webable","2000s","2002, 2004"
"manbook","2000s","2002"
"cussup","2000s","2002"
"tecsup","2000s","2002"
"askwksch","2000s","2002"
"askelse","2000s","2002"
"payelse","2000s","2002"
"doself","2000s","2002"
"browser1","2000s","2002"
"advsrch","2000s","2002, 2004"
"mp3","2000s","2002"
"ezines","2000s","2002"
"prefsets","2000s","2002, 2004"
"newsgrps","2000s","2002, 2004"
"timekid1","2000s","2000"
"timekid2","2000s","2000"
"huclean","2000s","2000"
"huclean","2010s","2016, 2018"
"huclean","2020s","2022, 2024"
"homeband","2000s","2004"
"freemns1","2000s","2000"
"freemns2","2000s","2000"
"freeexp1","2000s","2000"
"howfree","2000s","2000"
"rhowfree","2000s","2000"
"freenow","2000s","2000"
"rfreenow","2000s","2000"
"satdemoc","2000s","2000"
"satdemoc","2020s","2024"
"leftlone","2000s","2000"
"nogovt","2000s","2000"
"inpeace","2000s","2000"
"partpol","2000s","2000"
"choice","2000s","2000"
"expunpop","2000s","2000"
"freeprss","2000s","2000"
"wlthpov","2000s","2000"
"cntrlife","2000s","2000"
"modact","2000s","2000"
"stairs","2000s","2000"
"didlessp","2000s","2000"
"limitedp","2000s","2000"
"didlesse","2000s","2000"
"crelesse","2000s","2000"
"pain","2000s","2000"
"peaceful","2000s","2000"
"energy","2000s","2000"
"downblue","2000s","2000"
"socacts","2000s","2000"
"treat1","2000s","2000"
"treat2","2000s","2000"
"treat3","2000s","2000"
"treat4","2000s","2000"
"treat5","2000s","2000"
"treat6","2000s","2000"
"treat7","2000s","2000"
"treat8","2000s","2000"
"treat9","2000s","2000"
"treat10","2000s","2000"
"treat11","2000s","2000"
"wait1","2000s","2000"
"wait2","2000s","2000"
"ethimp","2000s","2002"
"ethignor","2000s","2002"
"ethnofit","2000s","2002"
"ethtrads","2000s","2002"
"ethadapt","2000s","2002"
"feelblks","2000s","2002"
"feelasns","2000s","2002"
"feelhsps","2000s","2002"
"feelwhts","2000s","2002"
"ethsame","2000s","2002"
"ethdiff","2000s","2002"
"whtsdiff","2000s","2002"
"docvig","2000s","2002"
"regdoc","2000s","2002"
"regdocyr","2000s","2002"
"docaskme","2000s","2002"
"docdecid","2000s","2002"
"docrely","2000s","2002"
"hlthplan","2000s","2002"
"chosedoc","2000s","2002"
"insrlmts","2000s","2002"
"diffcare","2000s","2002"
"fininc","2000s","2002"
"fininc1","2000s","2002"
"fininc2","2000s","2002"
"fininc3","2000s","2002"
"fininc4","2000s","2002"
"belvedoc","2000s","2002"
"docinfo","2000s","2002"
"docnomri","2000s","2002"
"docsat","2000s","2002"
"doccosts","2000s","2002"
"docswtch","2000s","2002"
"insrchng","2000s","2002"
"secopin","2000s","2002"
"sethrs","2010s","2016"
"advsched","2010s","2016"
"wrktype","2000s","2002, 2006"
"wrktype","2010s","2010, 2014, 2018"
"wrktype","2020s","2022"
"wrksched","2000s","2002, 2006"
"wrksched","2010s","2010, 2014, 2018"
"wrksched","2020s","2022"
"mustwork","2000s","2002, 2006"
"mustwork","2010s","2010, 2014, 2018"
"mustwork","2020s","2022"
"chngtme","2000s","2002, 2006"
"chngtme","2010s","2010, 2014, 2018"
"chngtme","2020s","2022"
"wrkhome","2000s","2002, 2006"
"wrkhome","2010s","2010, 2014, 2018"
"wrkhome","2020s","2022"
"whywkhme","2000s","2002, 2006"
"whywkhme","2010s","2010, 2014, 2018"
"whywkhme","2020s","2022"
"famwkoff","2000s","2002, 2006"
"famwkoff","2010s","2010, 2014, 2018"
"famwkoff","2020s","2022"
"wkvsfam","2000s","2002, 2006"
"wkvsfam","2010s","2010, 2012, 2014, 2018"
"wkvsfam","2020s","2022"
"famvswk","2000s","2002, 2006"
"famvswk","2010s","2010, 2014, 2018"
"famvswk","2020s","2022"
"secondwk","2000s","2002, 2006"
"secondwk","2010s","2010, 2014, 2018"
"secondwk","2020s","2022"
"learnnew","2000s","2002, 2006"
"learnnew","2010s","2010, 2014, 2018"
"learnnew","2020s","2022"
"workfast","2000s","2002, 2006"
"workfast","2010s","2010, 2014, 2018"
"workfast","2020s","2022"
"workdiff","2000s","2002, 2006"
"workdiff","2010s","2010, 2014, 2018"
"workdiff","2020s","2022"
"lotofsay","2000s","2002, 2006"
"wktopsat","2000s","2002, 2006"
"overwork","2000s","2002, 2006"
"overwork","2010s","2010, 2014, 2018"
"overwork","2020s","2022"
"knowwhat","2000s","2002, 2006"
"knowwhat","2010s","2010, 2014, 2018"
"knowwhat","2020s","2022"
"myskills","2000s","2002, 2006"
"myskills","2010s","2010, 2014, 2018"
"myskills","2020s","2022"
"respect","2000s","2002, 2006"
"respect","2010s","2010, 2014, 2018"
"respect","2020s","2022"
"trustman","2000s","2002, 2006"
"trustman","2010s","2010, 2014, 2018"
"trustman","2020s","2022"
"safetywk","2000s","2002, 2006"
"safetywk","2010s","2010, 2014, 2018"
"safetywk","2020s","2022"
"safefrst","2000s","2002, 2006"
"safefrst","2010s","2010, 2014, 2018"
"safefrst","2020s","2022"
"teamsafe","2000s","2002, 2006"
"teamsafe","2010s","2010, 2014, 2018"
"teamsafe","2020s","2022"
"safehlth","2000s","2002, 2006"
"safehlth","2010s","2010, 2014, 2018"
"safehlth","2020s","2022"
"proudemp","2000s","2002, 2006"
"proudemp","2010s","2010, 2014, 2018"
"proudemp","2020s","2022"
"prodctiv","2000s","2002, 2006"
"prodctiv","2010s","2010, 2014, 2018"
"prodctiv","2020s","2022"
"wksmooth","2000s","2002, 2006"
"wksmooth","2010s","2010, 2014, 2018"
"wksmooth","2020s","2022"
"trdunion","2000s","2002, 2006"
"trdunion","2010s","2010, 2014, 2018"
"trdunion","2020s","2022"
"partteam","2000s","2002, 2006"
"partteam","2010s","2010, 2014, 2018"
"partteam","2020s","2022"
"wkdecide","2000s","2002, 2006"
"wkdecide","2010s","2010, 2014, 2018"
"wkdecide","2020s","2022"
"setthngs","2000s","2002, 2006"
"toofewwk","2000s","2002, 2006"
"toofewwk","2010s","2010, 2014, 2018"
"toofewwk","2020s","2022"
"promteok","2000s","2002, 2006"
"promteok","2010s","2010, 2014, 2018"
"promteok","2020s","2022"
"opdevel","2000s","2002, 2006"
"opdevel","2010s","2010, 2014, 2018"
"opdevel","2020s","2022"
"hlpequip","2000s","2002, 2006"
"hlpequip","2010s","2010, 2014, 2018"
"hlpequip","2020s","2022"
"haveinfo","2000s","2002, 2006"
"haveinfo","2010s","2010, 2014, 2018"
"haveinfo","2020s","2022"
"wkfreedm","2000s","2002, 2006"
"wkfreedm","2010s","2010, 2014, 2018"
"wkfreedm","2020s","2022"
"fringeok","2000s","2002, 2006"
"fringeok","2010s","2010, 2014, 2018"
"fringeok","2020s","2022"
"supcares","2000s","2002, 2006"
"supcares","2010s","2010, 2012, 2014, 2018"
"supcares","2020s","2022"
"condemnd","2000s","2002, 2006"
"condemnd","2010s","2010, 2014, 2018"
"condemnd","2020s","2022"
"promtefr","2000s","2002, 2006"
"promtefr","2010s","2010, 2014, 2018"
"promtefr","2020s","2022"
"cowrkint","2000s","2002, 2006"
"cowrkint","2010s","2010, 2014, 2018"
"cowrkint","2020s","2022"
"jobsecok","2000s","2002, 2006"
"jobsecok","2010s","2010, 2012, 2014, 2018"
"jobsecok","2020s","2022"
"suphelp","2000s","2002, 2006"
"suphelp","2010s","2010, 2014, 2018"
"suphelp","2020s","2022"
"wrktime","2000s","2002, 2006"
"wrktime","2010s","2010, 2014, 2018"
"wrktime","2020s","2022"
"cowrkhlp","2000s","2002, 2006"
"cowrkhlp","2010s","2010, 2014, 2018"
"cowrkhlp","2020s","2022"
"trainops","2000s","2002, 2006"
"manvsemp","2000s","2002, 2004, 2006"
"manvsemp","2010s","2010, 2014, 2018"
"manvsemp","2020s","2022"
"hvylift","2000s","2002, 2006"
"hvylift","2010s","2010, 2014, 2018"
"hvylift","2020s","2022"
"handmove","2000s","2002, 2006"
"handmove","2010s","2010, 2014, 2018"
"handmove","2020s","2022"
"wkpraise","2000s","2002, 2006"
"wkpraise","2010s","2010, 2014, 2018"
"wkpraise","2020s","2022"
"wkbonus","2000s","2002, 2006"
"fairearn","2000s","2002, 2006"
"fairearn","2010s","2010, 2014, 2018"
"fairearn","2020s","2022"
"rincblls","2000s","2002, 2006"
"rincblls","2010s","2010, 2014, 2018"
"rincblls","2020s","2022"
"laidoff","2000s","2002, 2006"
"laidoff","2010s","2010, 2014, 2018"
"laidoff","2020s","2022"
"jobfind1","2000s","2002, 2006"
"jobfind1","2010s","2010, 2014, 2018"
"jobfind1","2020s","2022"
"trynewjb","2000s","2002, 2004, 2006"
"trynewjb","2010s","2010, 2012, 2014, 2018"
"trynewjb","2020s","2022"
"wkageism","2000s","2002, 2006"
"wkageism","2010s","2010, 2012, 2014, 2018"
"wkageism","2020s","2022"
"wkracism","2000s","2002, 2006"
"wkracism","2010s","2010, 2012, 2014, 2018"
"wkracism","2020s","2022"
"wksexism","2000s","2002, 2006"
"wksexism","2010s","2010, 2014, 2018"
"wksexism","2020s","2022"
"wkharsex","2000s","2002, 2006"
"wkharsex","2010s","2010, 2014, 2018"
"wkharsex","2020s","2022"
"wkharoth","2000s","2002, 2006"
"wkharoth","2010s","2010, 2014, 2018"
"wkharoth","2020s","2022"
"health1","2000s","2002, 2004, 2006"
"health1","2010s","2010, 2014, 2018"
"health1","2020s","2022"
"usedup","2000s","2002, 2006"
"usedup","2010s","2010, 2014, 2018"
"usedup","2020s","2022"
"backpain","2000s","2002, 2006"
"backpain","2010s","2010, 2014, 2018"
"backpain","2020s","2022"
"painarms","2000s","2002, 2006"
"painarms","2010s","2010, 2014, 2018"
"painarms","2020s","2022"
"hurtatwk","2000s","2002, 2006"
"hurtatwk","2010s","2010, 2014, 2018"
"hurtatwk","2020s","2022"
"spvtrfair","2010s","2010, 2014, 2018"
"spvtrfair","2020s","2022"
"strredpg","2010s","2010, 2014, 2018"
"strredpg","2020s","2022"
"phyeffrt","2010s","2010, 2014, 2018"
"phyeffrt","2020s","2022"
"slpprblm","2010s","2010, 2014, 2018"
"slpprblm","2020s","2022"
"satjob1","2000s","2002, 2006"
"satjob1","2010s","2010, 2014, 2018"
"satjob1","2020s","2022"
"knowschd","2010s","2014, 2018"
"stress12","2010s","2014, 2018"
"stress12","2020s","2022"
"hyperten","2010s","2014, 2018"
"hyperten","2020s","2022"
"arthrtis","2010s","2014, 2018"
"arthrtis","2020s","2022"
"diabetes","2010s","2014, 2018"
"diabetes","2020s","2022"
